Code;Title
FINPROTECTION_IMP_NP_310_LEVEL_MILLION;Total population pushed below the $3.20 a day poverty line by household health expenditures (millions)
FINPROTECTION_IMP_NP_310_LEVEL_SH;Total population pushed below the $3.20 a day poverty line by household health expenditures (%, regional, global)
FINPROTECTION_IMP_NP_365_LEVEL_MILLION;Total population pushed below the $3.65 a day poverty line by household health expenditures (millions, regional, global)
FINPROTECTION_IMP_NP_365_LEVEL_SH;Total population pushed below the $3.65 a day poverty line by household health expenditures (%, regional, global)
FINPROTECTION_IMP_NP_REL_LEVEL_MILLION;Total population pushed below a relative poverty line by household health expenditures - 60% of median daily per capita consumption or income (millions, regional, global)
FINPROTECTION_IMP_NP_REL_LEVEL_SH;Total population pushed below a relative poverty line by household health expenditures - 60% of median daily per capita consumption or income (%, regional, global)
FINPROTECTION_IMP_NP190_POP;Population pushed below the $1.90 a day poverty line by household health expenditures (%, national, rural, urban)
FINPROTECTION_IMP_NP215_POP;Population pushed below the $2.15 a day poverty line by household health expenditures (%, national, rural, urban)
FINPROTECTION_IMP_NP310_POP;Population pushed below the $3.20 a day poverty line by household health expenditures (%, national, rural, urban)
FINPROTECTION_IMP_NP365_POP;Population pushed below the $3.65 a day poverty line by household health expenditures (%, national, rural, urban)
FINPROTECTION_IMP_NPRELPL_POP;Population pushed below a relative poverty line by household health expenditures - 60% of median daily per capita consumption or income (%, national, rural, urban)
FINPROTECTION_IMP_P_215_LEVEL_MILLION;Total population pushed further below the $2.15 a day poverty line by household health expenditures (millions, regional, global)
FINPROTECTION_IMP_P_215_LEVEL_SH;Total population pushed further below the $2.15 a day poverty line by household health expenditures (%, regional, global)
FINPROTECTION_IMP_P_365_LEVEL_MILLION;Total population pushed further below the $3.65 a day poverty line by household health expenditures (millions, regional, global)
FINPROTECTION_IMP_P_365_LEVEL_SH;Total population pushed further below the $3.65 a day poverty line by household health expenditures (%, regional, global)
FINPROTECTION_IMP_P190_LEVEL_MILLION;Total population pushed further below the $1.90 a day poverty line by household health expenditures (millions, regional, global)
FINPROTECTION_IMP_P190_LEVEL_SH;Total population pushed further below the $1.90 a day poverty line by household health expenditures (%, regional, global)
FINPROTECTION_IMP_P190_POP;Population pushed further below the $1.90 a day poverty line by household health expenditures (%, national, rural, urban)
FINPROTECTION_IMP_P215_POP;Population pushed further below the $2.15 a day poverty line by household health expenditures (%, national, rural, urban)
FINPROTECTION_IMP_P310_LEVEL_MILLION;Total population pushed further below the $3.20 a day poverty line by household health expenditures (millions, regional, global)
FINPROTECTION_IMP_P310_LEVEL_SH;Total population pushed further below the $3.20 a day poverty line by household health expenditures (%, regional, global)
FINPROTECTION_IMP_P310_POP;Population pushed further below the $3.20 a day poverty line by household health expenditures (%, national, rural, urban)
FINPROTECTION_IMP_P365_POP;Population pushed further below the $3.65 a day poverty line by household health expenditures (%, national, rural, urban)
FINPROTECTION_IMP_PG_190;Increase in poverty gap due to household health expenditures at the $1.90 a day poverty line, in cents of international dollars
FINPROTECTION_IMP_PG_190_STD;Increase in poverty gap due to household health expenditures, expressed as a proportion of the $1.90 a-day poverty line (%, national, rural, urban)
FINPROTECTION_IMP_PG_215_STD;Increase in poverty gap due to household health expenditures, expressed as a proportion of the $2.15 a-day poverty line (%, national, rural, urban)
FINPROTECTION_IMP_PG_310;Increase in poverty gap due to household health expenditures at the $3.20 a day poverty line, in cents of international dollars
FINPROTECTION_IMP_PG_310_STD;Increase in poverty gap due to household health expenditures, expressed as a proportion of the $3.20 a-day poverty line (%, national, rural, urban)
FINPROTECTION_IMP_PG_365_STD;Increase in poverty gap due to household health expenditures, expressed as a proportion of the $3.65 a-day poverty line (%, national, rural, urban)
FINPROTECTION_IMP_PG_RELPL_STD;Increase in poverty gap due to household health expenditures, expressed as a proportion of a relative poverty line - 60% of median daily per capita consumption or income (%, national, rural, urban)
FINPROTECTION_IMP_PREL_LEVEL_MILLION;Total population pushed further below a relative poverty line by household health expenditures - 60% of median daily per capita consumption or income (millions, regional, global)
FINPROTECTION_IMP_PREL_LEVEL_SH;Total population pushed further below a relative poverty line by household health expenditures - 60% of median daily per capita consumption or income (%, regional, global)
FINPROTECTION_IMP_PRELPL_POP;Population pushed further below a relative poverty line by household health expenditures - 60% of median daily per capita consumption or income (%, national, rural, urban)
FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE;Availability of estimates on impoverishment due to out-of-pocket health expenditures
FOODBORNE_DALY;Foodborne disability-adjusted life years
FOODBORNE_DALY_100k;Foodborne disability-adjusted life years per 100 000
FOODBORNE_DALY_100k_GE5;Foodborne disability-adjusted life years per 100 000, aged 5 years and above
FOODBORNE_DALY_100k_LT5;Foodborne disability-adjusted life years per 100 000, aged less than 5 years
FOODBORNE_DALY_100k_TOTAL;Foodborne disability-adjusted life years per 100 000, all ages
FOODBORNE_DALY_CASE;Foodborne disability-adjusted life years per case
FOODBORNE_DALY_CASE_GE5;Foodborne disability-adjusted life years per case, aged 5 years and above
FOODBORNE_DALY_CASE_LT5;Foodborne disability-adjusted life years per case, aged less than 5 years
FOODBORNE_DALY_CASE_TOTAL;Foodborne disability-adjusted life years per case, all ages
FOODBORNE_DALY_GE5;Foodborne disability-adjusted life years, aged 5 years and above
FOODBORNE_DALY_LT5;Foodborne disability-adjusted life years, aged less than 5 years
FOODBORNE_DALY_TOTAL;Foodborne disability-adjusted life years, all ages
FOODBORNE_DTH;Foodborne deaths
FOODBORNE_DTH_100K;Foodborne deaths per 100 000
FOODBORNE_DTH_100K_GE5;Foodborne deaths per 100 000, aged 5 years and above
FOODBORNE_DTH_100K_LT5;Foodborne deaths per 100 000, aged less than 5 years
FOODBORNE_DTH_100K_TOTAL;Foodborne deaths per 100 000, all ages
FOODBORNE_DTH_GE5;Foodborne deaths, aged 5 years and above
FOODBORNE_DTH_LT5;Foodborne deaths, aged less than 5 years
FOODBORNE_DTH_TOTAL;Foodborne deaths, all ages
FOODBORNE_ILL;Foodborne illnesses
FOODBORNE_ILL_100K;Foodborne illnesses per 100 000
